hospital_name,facebook_link
Aravind Eye Hospital,https://www.facebook.com/maharaja-agrasen-hospital-dwarka-sector-1-103371528653223
"Fortis Hospital, Gurugram",https://www.facebook.com/363937177049762
Fortis Hospital Anandapur,https://www.facebook.com/403696146338540
Wockhardt Hospital Nagpur,https://www.facebook.com/358697884982983
"RAM HOSPITAL & RESEARCH CENTRE, KANPUR",https://www.facebook.com/300794983361546
HCG Manavata Cancer Centre,https://www.facebook.com/103568074363191
Rajarajeswari Medical College and Hospital,https://www.facebook.com/259389260797215
"Medanta The Medicity, Gurgaon, Haryana",https://www.facebook.com/113203762145775
Sumitra Hospital,https://www.facebook.com/101330285588
"Government Medical College, Thiruvananthapuram",https://www.facebook.com/128381063905889
"Jupiter Hospital, Thane",https://www.facebook.com/1991210791157556
Tata Memorial Hospital,https://www.facebook.com/108781135310003
"HCG Aastha Cancer Centre, Ahmedabad",https://www.facebook.com/209653115728865
Civil Hospital,https://www.facebook.com/672414693126816
Shraddha Hospital,facebook.com/shraddhahospitals
Burdwan Medical College Burdwan,https://www.facebook.com/340374769745560
All India Institute of Medical Sciences Patna,https://www.facebook.com/143715769148968
"NKP Salve Institute of Medical Sciences and Research Centre, Nagpur",https://www.facebook.com/115506647818554
King Edward Memorial Hospital,https://www.facebook.com/109989237523588
Motherhood Hospital,https://www.facebook.com/827568894082999
Fortis Hospital at Ludhiana - Punjab,https://www.facebook.com/115757108284523
"Government Medical College, Thoothukudi",https://www.facebook.com/958394547594699
Chawla Nursing Home,https://www.facebook.com/143083479560702
Sir H. N. Reliance Foundation Hospital,https://www.facebook.com/102989398439158
Patna Medical College & Hospital,https://www.facebook.com/176080206412521
Ayush Hospital,https://www.facebook.com/133685813493343
Amrita Hospital,https://www.facebook.com/1437767166484245
Amrita Institute of Medical Sciences and Research Centre,https://www.facebook.com/509769475714067
MGM Healthcare,https://www.facebook.com/1247032438772716
"NH Narayana Superspeciality Hospital, Shalimar",https://www.facebook.com/189623624920295
Kasturba Hospital,https://www.facebook.com/135871689601657
Guru Nanak Dev Hospital,https://www.facebook.com/hanseyehospital/
"Raj Eye Hospital, Gorakhpur",https://www.facebook.com/213040482517484
Kovai Medical Centre and Hospital Coimbatore,https://www.facebook.com/132133273548629
Attar Sain Jain Hospital,https://www.facebook.com/313162242750385
"Lilavati Hospital and Research Centre, Mumbai, India",https://www.facebook.com/389223631451254
Government Medical College And Hospital Chandrapur,https://www.facebook.com/1329613563759826
"Max Super-Speciality Hospital, Mohali",https://www.facebook.com/194086157368454
Parul Sevashram Hospital,https://www.facebook.com/386593008104041
Sri Ramakrishna Hospital,https://www.facebook.com/sri.ramakrishna.hospital/
Arokya Hospital,https://www.facebook.com/187236615260038
Okay Diagnostic Center,https://www.facebook.com/2086218231653153
Srinivasa Nursing Home,https://www.facebook.com/174551033279663
St. John's Hospital,https://www.facebook.com/1834529963474266
Sai Hospital,https://www.facebook.com/2031350643747856
"Medical College and Hospital, Kolkata",https://www.facebook.com/143989512987711
"Kokilaben Dhirubhai Ambani Hospital and Research Centre, Mumbai, Maharashtra, India",https://www.facebook.com/1752267828416995
All India Institute of Medical Sciences,https://www.facebook.com/201724007360031
Sugam Hospitals,https://www.facebook.com/163513271070600
Bangalore Baptist Hospital,https://www.facebook.com/105819079499663
Goyal Hospital & Research Centre,https://www.facebook.com/572425796231063
MNR Dental College and Hospital,https://www.facebook.com/1882347615319644
"Sparsh Super Speciality Hospital (Y), Yeshwantpur",https://www.facebook.com/159828381186942
"Breach Candy Hospital, Mumbai, India",https://www.facebook.com/403342210012541
"Govt. Homoeo Medical College Hospital (Guwahati, Nowgong, Jorhat)",https://www.facebook.com/344790298919365
Max Super Specialty Hospital - Dehradun,https://www.facebook.com/1890575951160440
KEM Hospital Pune,https://www.facebook.com/271970379918822
Asha Hospital,https://www.facebook.com/189725685013332
Suyash Hospital,https://www.facebook.com/234544279920916
Peerless Hospitex Hospital,https://www.facebook.com/136149126921062
Park Hospital,https://www.facebook.com/236089303826435
Isha Multispeciality Hospital,https://www.facebook.com/shreekrishnahospitalkarmasad
Bansal Hospital,https://www.facebook.com/1493242374323046
Fatima Hospital,https://www.facebook.com/1936203209961505
"Krishna Institute of Medical Sciences, Hyderabad",https://www.facebook.com/593525347694661
Welcare Hospital,https://www.facebook.com/1825552914363382
Ganga Hospital,https://www.facebook.com/263860663692725
"Ujala Cygnus Brightstar Hospital, Moradabad",https://www.facebook.com/309937979096467
Shreeji Women's Hospital,https://www.facebook.com/1932854840287010
Medical College Kottayam,https://www.facebook.com/441846906182987
Alchemist Hospital,https://www.facebook.com/339920356145298
"District Hospital, Kanhangad, India",https://www.facebook.com/109347998074022
Belle Vue Clinic,https://www.facebook.com/alexaactiveaging
Samar Hospital,https://www.facebook.com/103361351684568
Sadar Hospital,https://www.facebook.com/128828223644972
Joshi Hospital,https://www.facebook.com/105043561261095
"S.N.M. District Hospital & Tuberculosis Sanatorium, Firozabad",https://www.facebook.com/157270631572873
Cloudnine Golf Course Road - Gurgaon,https://www.facebook.com/109955118209726
Apollo Hospital Cbd Belapur,https://www.facebook.com/103017398145502
Holy Spirit Hospital Andheri,https://www.facebook.com/1920734684920565
Indira Gandhi Institute of Medical Sciences,https://www.facebook.com/138848182810530
"Sunshine Global Hospital, Surat, Gujarat",https://www.facebook.com/142935516240950
Rabindranath Tagore International Institute Of Cardiac Sciences,https://www.facebook.com/102423999370389
Vijaya Hospital,https://www.facebook.com/278718025917564
Big Apollo Spectra Hospitals,https://www.facebook.com/100578401347784
National Instt of Ophthalmology,https://www.facebook.com/407342319658661
Government General Hospital,https://www.facebook.com/488147884912131
Ruby General Hospital,https://www.facebook.com/1471848219707001
Sai Shradha Multispeciality Hospital,https://www.facebook.com/149848685580869
Sujata Birla Hospital & Medical Research Center,https://www.facebook.com/418029745020094
"Ganga Hospital, Coimbatore",https://www.facebook.com/105069621555915
