specialty,category,source_row_count,hbp_estimated_cost_inr_low,hbp_estimated_cost_inr_high,hbp_cost_confidence,hbp_cost_source_label,hbp_cost_source_url
All Specialities,"Administration, Operations & Support Services",1,1500,10000,Planning proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Ambulance Services,"Administration, Operations & Support Services",1,1500,10000,Planning proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Engineering and Maintenance,"Administration, Operations & Support Services",1,1500,10000,Planning proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
General Administration,"Administration, Operations & Support Services",1,1500,10000,Planning proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Health Checkup,"Administration, Operations & Support Services",1,1500,10000,Planning proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Health Checkups,"Administration, Operations & Support Services",1,1500,10000,Planning proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Healthcare Tourism,"Administration, Operations & Support Services",1,1500,10000,Planning proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Home Collection,"Administration, Operations & Support Services",1,1500,10000,Planning proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Multispeciality,"Administration, Operations & Support Services",2,1500,10000,Planning proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Other Specialties,"Administration, Operations & Support Services",1,1500,10000,Planning proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Outpatient Services,"Administration, Operations & Support Services",1,1500,10000,Planning proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Pharmacy,"Administration, Operations & Support Services",1,1500,10000,Planning proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Specialist Consultation,"Administration, Operations & Support Services",1,1500,10000,Planning proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Superspeciality,"Administration, Operations & Support Services",1,1500,10000,Planning proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Acupressure,Alternative & Integrative Medicine,1,2000,7500,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Ayurveda,Alternative & Integrative Medicine,2,2000,7500,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Ayurvedic,Alternative & Integrative Medicine,1,2000,7500,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Ayurvedic Treatments,Alternative & Integrative Medicine,1,2000,7500,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Holistic Therapies,Alternative & Integrative Medicine,1,2000,7500,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Homeopath,Alternative & Integrative Medicine,1,2000,7500,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Homeopathic,Alternative & Integrative Medicine,2,2000,7500,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Homeopathic Doctors,Alternative & Integrative Medicine,1,2000,7500,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Homeopathy,Alternative & Integrative Medicine,1,2000,7500,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Homoeopath,Alternative & Integrative Medicine,1,2000,7500,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Homoeopathy,Alternative & Integrative Medicine,1,2000,7500,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Kaya Chikitsa,Alternative & Integrative Medicine,1,2000,7500,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Kayachikitsa,Alternative & Integrative Medicine,2,2000,7500,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Marma Chikitsa,Alternative & Integrative Medicine,1,2000,7500,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Meru Chikitsa,Alternative & Integrative Medicine,1,2000,7500,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Naturopathy,Alternative & Integrative Medicine,1,2000,7500,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Panchakarma,Alternative & Integrative Medicine,2,2000,7500,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Panchakarma Chikitsa,Alternative & Integrative Medicine,1,2000,7500,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Prasuti Tantra Evum Stri Roga,Alternative & Integrative Medicine,2,2000,7500,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Rasa Chikitsa,Alternative & Integrative Medicine,1,2000,7500,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Rasayana Chikitsa,Alternative & Integrative Medicine,1,2000,7500,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Salakya Chikitsa,Alternative & Integrative Medicine,1,2000,7500,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Shalakya Tantra,Alternative & Integrative Medicine,1,2000,7500,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Shalakyatantra,Alternative & Integrative Medicine,1,2000,7500,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Shalya Chikitsa,Alternative & Integrative Medicine,1,2000,7500,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Shalya Tantra,Alternative & Integrative Medicine,1,2000,7500,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Shalyatantra,Alternative & Integrative Medicine,1,2000,7500,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Unani Hospitals,Alternative & Integrative Medicine,1,2000,7500,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Vajikarana Chikitsa,Alternative & Integrative Medicine,1,2000,7500,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Visha Chikitsa,Alternative & Integrative Medicine,1,2000,7500,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Yoga and Naturopathy,Alternative & Integrative Medicine,1,2000,7500,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Ambulatory Anesthesiology,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Anaesthesiologist,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Anesthesia,Anesthesia & Pain Medicine,3,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Anesthesiapainmanagement,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Anesthesiologist,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Anesthesiology,Anesthesia & Pain Medicine,4,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Anesthesiology Department,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Anesthesiology and Pain Management,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Back and Neck Pain,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Chronic Pain,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Department of Endoscopic Anesthesia,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Hospice and Palliative Medicine Anesthesiology,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Interventional Pain Management,Anesthesia & Pain Medicine,2,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Interventional Pain Medicine,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Interventional Pain Physicians,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Interventional Pain Therapy,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Low Back Pain,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Orofacial Pain,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Pain Clinic,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Pain Management,Anesthesia & Pain Medicine,2,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Pain Management Clinic,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Pain Management Interventional,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Pain Management Pmr,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Pain Management and Palliative Care,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Pain Medicine,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Pain Medicine Anesthesiology,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Pain Medicine Pmr,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Pain Palliative,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Pain Palliative Care,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Pain Palliative Medicine,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Pain Relief,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Pain and Palliative Care,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Pain and Palliative Medicine,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Painmanagement,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Perioperative Anesthesia,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Regional Anesthesiology and Acute Pain,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Spinal Pain Therapy,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Sympathetic Nerve Block,Anesthesia & Pain Medicine,1,6500,35000,HBP proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
Adult Cardiac Anesthesiology,Cardiology & Cardiothoracic,1,5000,45000,HBP direct/proxy,AB PM-JAY HBP 2.0 Rate List,https://ayushmanup.in/assets/doc/HBP-2.0-Rate-List.pdf
