specialty_clean,specialty,category,match_method,match_score
orthopedicOncology,Orthopedic Oncology,Oncology & Hematology,normalized_exact,1.000
spineNeurosurgery,Spine Neurosurgery,Neurology & Neurosurgery,normalized_exact,1.000
interventionalCardiology,Interventional Cardiology,Cardiology & Cardiothoracic,normalized_exact,1.000
gastroenterologyAndHepatobiliarySciences,Gastroenterology and Hepatobiliary Sciences,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
retinaAndVitreoretinalOphthalmology,Retina and Vitreoretinal Ophthalmology,Ophthalmology,normalized_exact,1.000
periodontology,Periodontology,"Dental, Oral & Maxillofacial",normalized_exact,1.000
pediatricHematologyOncology,Pediatric Hematology Oncology,Pediatrics & Neonatology,normalized_exact,1.000
aestheticDentistry,Aesthetic Dentistry,"Dental, Oral & Maxillofacial",normalized_exact,1.000
obstetricsAndMaternityCare,Obstetrics and Maternity Care,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
movementDisorders,Movement Disorders,Neurology & Neurosurgery,normalized_exact,1.000
oculoplasty,Oculoplasty,Ophthalmology,normalized_exact,1.000
anatomicPathology,Anatomic Pathology,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
orthopedics,Orthopedics,"Orthopedics, Spine & Sports Medicine",manual,1.000
laboratoryMedicine,Laboratory Medicine,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
noninvasiveCardiologyCentre,Noninvasive Cardiology Centre,Cardiology & Cardiothoracic,normalized_exact,1.000
bariatricSurgeryMetabolic,Bariatric Surgery Metabolic,"Endocrinology, Diabetes & Metabolic",normalized_exact,1.000
fertilityAndIVF,Fertility and IVF,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
clinicalBiochemistryAndTherapeuticDrugMonitoring,Clinical Biochemistry and Therapeutic Drug Monitoring,"Diagnostics, Pathology & Laboratory",normalized_exact,1.000
departmentOfEndoscopicAnesthesia,Department of Endoscopic Anesthesia,Anesthesia & Pain Medicine,normalized_exact,1.000
vascularAndEndovascularSurgery,Vascular and Endovascular Surgery,"General, Laparoscopic & Minimal Access Surgery",normalized_exact,1.000
spinalCordInjuryMedicine,Spinal Cord Injury Medicine,Neurology & Neurosurgery,normalized_exact,1.000
ENT and Skull Base Surgery,ENT and Skull Base Surgery,Neurology & Neurosurgery,manual,1.000
GI oncology,GI Oncology,Oncology & Hematology,manual,1.000
sportMedicine,Sport Medicine,"General Medicine, Family & Internal Medicine",normalized_exact,1.000
laparoscopicGeneralSurgery,Laparoscopic General Surgery,"Gastroenterology, Hepatobiliary & Colorectal",normalized_exact,1.000
neuroPathology,Neuro Pathology,Neurology & Neurosurgery,normalized_exact,1.000
thoracicSurgery,Thoracic Surgery,"General, Laparoscopic & Minimal Access Surgery",normalized_exact,1.000
Semen  Sperm Freezing,Semen Sperm Freezing,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
anaesthesia,Anesthesia,Anesthesia & Pain Medicine,manual,1.000
speechMedicinePMR,Speech Medicine Pmr,"General Medicine, Family & Internal Medicine",normalized_exact,1.000
Neuroscience,Neuroscience,Neurology & Neurosurgery,normalized_exact,1.000
optometry,Optometry,Ophthalmology,normalized_exact,1.000
rheumatologyAndClinicalImmunology,Rheumatology and Clinical Immunology,"Immunology, Allergy & Rheumatology",normalized_exact,1.000
Orthopaedics  Joint Replacement,Orthopaedics Joint Replacement,"Orthopedics, Spine & Sports Medicine",normalized_exact,1.000
neurologyneurosurgery,Neurologyneurosurgery,Neurology & Neurosurgery,normalized_exact,1.000
plasticcosmeticsurgery,Plasticcosmeticsurgery,"Dermatology, Plastic & Aesthetic",normalized_exact,1.000
generalsurgery,Generalsurgery,"General, Laparoscopic & Minimal Access Surgery",normalized_exact,1.000
communityAndPublicPsychiatry,Community and Public Psychiatry,Mental Health & Behavioral,normalized_exact,1.000
dentalAndOralSurgery,Dental and Oral Surgery,"Dental, Oral & Maxillofacial",normalized_exact,1.000
globalHealthAndInternationalHealth,Global Health and International Health,Infectious Disease & Public Health,normalized_exact,1.000
fertilityClinicIvf,Fertility Clinic IVF,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
Ear Nose Throat Surgery,Ear Nose Throat Surgery,"ENT, Head & Neck",normalized_exact,1.000
Male Infertility,Male Infertility,"Obstetrics, Gynecology & Fertility",normalized_exact,1.000
ageRelatedMacularDegeneration,Age Related Macular Degeneration,Ophthalmology,normalized_exact,1.000
sportMedicinePMR,Sport Medicine Pmr,"General Medicine, Family & Internal Medicine",normalized_exact,1.000
physPhysicalMedicineAndRehabilitation,Phys Physical Medicine and Rehabilitation,"General Medicine, Family & Internal Medicine",normalized_exact,1.000
accidentAndEmergency,Accident and Emergency,"Emergency, Trauma & Critical Care",normalized_exact,1.000
orthopedicsAndTraumatology,Orthopedics and Traumatology,"Emergency, Trauma & Critical Care",normalized_exact,1.000
smileDesign,Smile Design,"Dental, Oral & Maxillofacial",normalized_exact,1.000
